x,y,r,g,b
0,0,0.0098, 0.0093, 0.0188
0,1,0.0108, 0.0185, 0.0191
0,2,0.0197, 0.0082, 0.0071
0,3,0.0115, 0.0167, 0.0074
0,4,0.0097, 0.0178, 0.0018
0,5,0.0142, 0.0182, 0.0081
0,6,0.0189, 0.0094, 0.004
0,7,0.0127, 0.005, 0.0097
0,8,0.0009, 0.0024, 0.0112
0,9,0.0066, 0.0082, 0.0111
1,0,0.0172, 0.0158, 0.0182
1,1,0.0161, 0.0044, 0.0168
1,2,0.0153, 0.0042, 0.0051
1,3,0.0003, 0.0157, 0.0196
1,4,-0.30265, -0.0163799, 0.067345
1,5,-0.687854, -0.038835, 0.146879
1,6,-0.859252, -0.0571102, 0.172363
1,7,-0.974479, -0.0764553, 0.199272
1,8,-0.981903, -0.0769102, 0.203575
1,9,-0.854577, -0.0640606, 0.187396
2,0,0.0049, 0.0071, 0.0123
2,1,0.0032, 0.0011, 0.0144
2,2,0.0177, 0.0164, 0.0187
2,3,-0.320363, -0.00667299, 0.0667579
2,4,-1.12042, -0.0467383, 0.194589
2,5,-2.03454, -0.113244, 0.363805
2,6,-2.73526, -0.145301, 0.47844
2,7,-3.06521, -0.153724, 0.544366
2,8,-3.06457, -0.163176, 0.549149
2,9,-2.71471, -0.129079, 0.479204
3,0,0.0098, 0.0012, 0.0054
3,1,0.0023, 0.0021, 0.0065
3,2,-0.26913, 0.153222, 0.050539
3,3,-1.0663, 0.217666, 0.177193
3,4,-2.43811, 0.199382, 0.3867
3,5,-3.89137, 0.0849709, 0.621838
3,6,-5.03089, -0.0232566, 0.805783
3,7,-5.53932, -0.117562, 0.903458
3,8,-5.47267, -0.161103, 0.902847
3,9,-4.74929, -0.21628, 0.774268
4,0,0.0128911, 0.298735, 0.0765113
4,1,-0.101469, 0.632196, 0.144868
4,2,-0.715162, 1.14129, 0.277064
4,3,-2.02839, 1.3502, 0.449208
4,4,-3.84782, 1.24114, 0.697244
4,5,-5.63251, 0.889014, 0.949933
4,6,-6.95112, 0.502263, 1.14339
4,7,-7.62761, 0.103342, 1.24666
4,8,-7.51407, -0.0984018, 1.25078
4,9,-6.57559, -0.208744, 1.0274
5,0,0.0160136, 0.677831, 0.136829
5,1,-0.21176, 1.45984, 0.298133
5,2,-0.977575, 2.44666, 0.521884
5,3,-2.70859, 2.78458, 0.731039
5,4,-4.84654, 2.46727, 0.976862
5,5,-6.7965, 1.72097, 1.19498
5,6,-8.17659, 0.917184, 1.35442
5,7,-8.63053, 0.404811, 1.37495
5,8,-8.55589, 0.086975, 1.34263
5,9,-7.92167, -0.148951, 1.19624
6,0,-0.0294802, 1.11619, 0.224471
6,1,-0.400962, 2.40162, 0.496301
6,2,-1.27925, 3.84037, 0.809373
6,3,-3.16661, 4.29365, 1.0441
6,4,-5.39347, 3.72943, 1.22169
6,5,-7.40065, 2.69925, 1.3602
6,6,-8.53524, 1.6332, 1.39595
6,7,-8.98572, 0.835851, 1.39664
6,8,-9.02002, 0.342256, 1.3401
6,9,-8.53624, -0.0677098, 1.22887
7,0,-0.0345019, 1.30741, 0.272594
7,1,-0.481071, 2.85896, 0.594073
7,2,-1.35435, 4.58423, 0.955463
7,3,-3.14373, 5.29914, 1.22516
7,4,-5.25849, 4.64198, 1.33029
7,5,-7.07721, 3.42281, 1.38001
7,6,-8.31186, 2.24609, 1.37501
7,7,-8.89036, 1.27896, 1.35415
7,8,-9.02914, 0.565915, 1.31087
7,9,-8.61305, 0.0421784, 1.22132
8,0,-0.0466499, 1.39481, 0.278168
8,1,-0.511973, 3.02882, 0.626076
8,2,-1.32633, 4.8749, 1.00794
8,3,-2.91159, 5.73257, 1.26912
8,4,-4.55504, 5.36008, 1.36809
8,5,-6.16194, 4.27545, 1.35189
8,6,-7.59338, 2.97953, 1.33433
8,7,-8.47005, 1.75474, 1.28503
8,8,-8.73961, 0.865707, 1.24769
8,9,-8.31686, 0.280254, 1.15125
9,0,-0.053947, 1.31165, 0.274445
9,1,-0.512265, 2.8594, 0.605379
9,2,-1.20399, 4.6188, 0.956907
9,3,-2.38301, 5.7716, 1.23079
9,4,-3.6351, 5.72847, 1.32198
9,5,-4.94179, 4.92204, 1.29438
9,6,-6.38343, 3.6882, 1.27536
9,7,-7.53933, 2.21911, 1.18491
9,8,-7.89718, 1.14008, 1.14861
9,9,-7.41838, 0.470842, 1.06831
